region,type,sqfeet,beds,baths,comes_furnished,laundry_options,parking_options,cats_allowed,dogs_allowed,price
gadsden-anniston,apartment,1200,2,1.5,0,w/d hookups,off-street parking,1,1,699
gadsden-anniston,apartment,1470,3,2.0,0,w/d hookups,off-street parking,1,1,995
gadsden-anniston,apartment,1560,3,2.0,0,w/d hookups,off-street parking,1,1,995
gadsden-anniston,apartment,900,1,1.0,1,w/d in unit,detached garage,1,1,930
gadsden-anniston,duplex,1000,2,1.5,0,w/d hookups,off-street parking,1,0,700
gadsden-anniston,apartment,1256,2,2.0,0,w/d hookups,off-street parking,1,1,1307
gadsden-anniston,apartment,1232,2,2.0,0,w/d hookups,street parking,1,1,1529
huntsville / decatur,apartment,1139,2,1.0,0,w/d hookups,off-street parking,1,1,977
gadsden-anniston,apartment,1201,3,2.0,0,w/d in unit,off-street parking,1,1,1495
gadsden-anniston,apartment,800,1,1.0,0,w/d in unit,off-street parking,1,1,1007
gadsden-anniston,house,1952,3,2.5,0,w/d hookups,attached garage,0,0,1750
gadsden-anniston,apartment,810,1,1.0,0,w/d in unit,off-street parking,1,1,950
huntsville / decatur,apartment,1470,3,2.0,0,w/d hookups,off-street parking,1,1,995
huntsville / decatur,house,866,2,1.0,0,w/d in unit,off-street parking,0,0,1000
huntsville / decatur,apartment,920,1,1.0,0,w/d hookups,off-street parking,1,1,799
huntsville / decatur,apartment,1560,3,2.0,0,w/d hookups,off-street parking,1,1,995
huntsville / decatur,apartment,1340,2,1.0,0,w/d hookups,off-street parking,1,1,899
huntsville / decatur,house,1334,3,2.0,0,w/d hookups,attached garage,0,0,700
huntsville / decatur,house,1786,4,2.0,0,w/d in unit,attached garage,1,1,550
huntsville / decatur,apartment,1000,2,1.5,0,w/d in unit,off-street parking,1,1,799
huntsville / decatur,apartment,1000,2,1.5,0,w/d in unit,off-street parking,1,1,849
huntsville / decatur,apartment,1470,3,2.0,0,w/d hookups,off-street parking,1,1,965
huntsville / decatur,apartment,1117,2,2.0,0,w/d hookups,no parking,1,1,820
huntsville / decatur,apartment,1100,2,1.0,0,laundry on site,off-street parking,1,1,789
huntsville / decatur,apartment,940,1,1.0,0,w/d hookups,off-street parking,1,1,909
huntsville / decatur,apartment,1050,2,1.0,0,laundry on site,off-street parking,1,1,779
huntsville / decatur,apartment,1117,2,2.0,0,w/d hookups,no parking,1,1,810
huntsville / decatur,apartment,795,1,1.0,0,w/d hookups,no parking,1,1,850
huntsville / decatur,apartment,705,1,1.0,0,w/d hookups,off-street parking,1,1,799
huntsville / decatur,apartment,640,1,1.0,0,w/d in unit,off-street parking,1,1,739
huntsville / decatur,apartment,1225,3,2.0,0,w/d in unit,off-street parking,1,1,1049
huntsville / decatur,apartment,1390,2,1.0,0,w/d hookups,off-street parking,1,1,899
huntsville / decatur,apartment,800,2,1.0,1,laundry on site,off-street parking,1,1,739
huntsville / decatur,apartment,600,1,1.0,0,laundry on site,off-street parking,1,1,689
huntsville / decatur,apartment,957,1,1.0,0,w/d hookups,off-street parking,1,1,1009
huntsville / decatur,apartment,1421,3,2.0,0,w/d hookups,off-street parking,1,1,1319
huntsville / decatur,apartment,807,1,1.0,0,w/d hookups,off-street parking,1,1,907
huntsville / decatur,apartment,880,2,1.0,0,laundry on site,off-street parking,1,1,769
huntsville / decatur,apartment,550,1,1.0,0,laundry in bldg,off-street parking,1,1,585
huntsville / decatur,house,1450,3,1.5,1,w/d in unit,attached garage,0,0,1500
huntsville / decatur,apartment,1380,2,1.0,0,w/d hookups,off-street parking,1,1,899
huntsville / decatur,apartment,1033,2,2.0,0,w/d hookups,off-street parking,1,1,968
huntsville / decatur,apartment,1402,2,2.0,0,w/d in unit,off-street parking,1,1,847
huntsville / decatur,apartment,1100,3,2.0,0,w/d in unit,off-street parking,1,1,899
huntsville / decatur,apartment,869,1,1.0,0,w/d in unit,off-street parking,1,1,749
huntsville / decatur,apartment,1638,3,2.0,0,w/d in unit,off-street parking,1,1,979
huntsville / decatur,apartment,1000,2,1.5,0,w/d in unit,off-street parking,1,1,839
huntsville / decatur,apartment,1200,3,2.0,0,laundry on site,off-street parking,1,1,899
huntsville / decatur,apartment,640,1,1.0,0,laundry in bldg,off-street parking,1,1,739
huntsville / decatur,apartment,1100,2,1.0,0,laundry on site,off-street parking,1,1,799
huntsville / decatur,apartment,792,1,1.0,0,w/d hookups,off-street parking,1,1,890
huntsville / decatur,apartment,1117,2,2.0,0,w/d hookups,no parking,1,1,895
tuscaloosa,apartment,1040,2,2.0,0,w/d hookups,off-street parking,1,1,869
huntsville / decatur,apartment,751,1,1.0,0,w/d in unit,off-street parking,1,1,1189
huntsville / decatur,apartment,768,1,1.0,0,w/d in unit,off-street parking,1,1,980
huntsville / decatur,apartment,1287,3,2.0,0,w/d hookups,off-street parking,1,1,1238
huntsville / decatur,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,785
huntsville / decatur,apartment,800,2,1.0,0,w/d hookups,off-street parking,1,1,650
huntsville / decatur,apartment,550,1,1.0,1,laundry on site,off-street parking,1,1,560
huntsville / decatur,apartment,900,2,1.0,1,w/d hookups,off-street parking,1,1,699
huntsville / decatur,apartment,900,1,1.0,0,w/d in unit,off-street parking,1,1,749
huntsville / decatur,apartment,1380,2,1.0,0,w/d hookups,off-street parking,1,1,850
huntsville / decatur,apartment,738,1,1.0,0,w/d in unit,off-street parking,1,1,740
huntsville / decatur,apartment,1150,3,1.0,0,laundry on site,off-street parking,1,1,660
huntsville / decatur,house,1408,3,1.5,0,w/d hookups,street parking,1,1,895
huntsville / decatur,house,866,2,1.0,0,w/d in unit,attached garage,0,0,1000
huntsville / decatur,apartment,858,1,1.0,0,w/d in unit,off-street parking,1,1,732
huntsville / decatur,apartment,705,1,1.0,0,w/d in unit,off-street parking,1,1,719
huntsville / decatur,house,1600,3,2.0,0,w/d hookups,off-street parking,1,1,650
huntsville / decatur,apartment,1200,3,2.0,0,w/d in unit,off-street parking,1,1,899
huntsville / decatur,apartment,1256,3,2.0,0,w/d hookups,off-street parking,1,1,1126
huntsville / decatur,apartment,1115,2,2.0,0,w/d hookups,off-street parking,1,1,853
huntsville / decatur,apartment,600,2,1.0,1,w/d hookups,off-street parking,1,1,620
huntsville / decatur,apartment,800,2,1.0,1,w/d hookups,off-street parking,1,1,699
anchorage / mat-su,apartment,1100,2,1.0,0,laundry in bldg,off-street parking,1,1,975
huntsville / decatur,apartment,1033,2,2.0,0,w/d hookups,no parking,1,1,845
huntsville / decatur,manufactured,1100,3,2.0,0,w/d hookups,off-street parking,1,1,360
huntsville / decatur,manufactured,600,2,1.0,0,w/d in unit,off-street parking,1,1,330
huntsville / decatur,manufactured,900,3,2.0,0,w/d hookups,off-street parking,1,1,330
huntsville / decatur,apartment,1100,2,1.0,0,laundry on site,off-street parking,1,1,759
